A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,result
1,24,2,1,2924,1,3,3,3,3,4,4,1,1,2,1,3,2,2,1,0
1,24,3,3,1659,1,2,4,2,1,2,3,0,3,1,1,2,1,2,1,1
4,48,3,3,7238,5,5,3,3,1,3,3,0,1,2,2,3,2,1,1,0
4,33,3,9,2764,1,3,2,2,1,2,3,0,3,2,2,3,1,2,1,0
4,24,3,1,4679,1,4,3,3,1,3,3,0,3,2,2,2,1,2,1,0
2,24,2,3,3092,2,2,3,4,1,2,3,0,3,1,1,3,1,2,1,1
1,6,2,6,448,1,2,4,2,1,4,2,0,3,2,1,3,1,1,1,1
1,9,2,0,654,1,3,4,3,1,3,3,0,3,2,1,2,1,1,1,1
4,6,2,8,1238,5,1,4,3,1,4,2,0,3,2,1,4,2,2,1,0
2,18,4,3,1245,1,3,4,4,1,2,3,0,3,2,1,3,1,1,1,1
1,18,0,2,3114,1,2,1,2,1,4,2,0,3,1,1,3,1,1,1,1
4,39,2,1,2569,3,3,4,3,1,4,3,0,3,2,1,3,1,1,1,0
3,24,2,3,5152,1,4,4,3,1,2,3,0,1,2,1,3,1,1,1,0
2,12,2,9,1037,2,4,3,3,1,4,1,0,3,2,1,2,1,1,1,0
1,15,4,2,1478,1,5,4,3,1,4,3,1,3,2,2,3,2,2,1,0
2,12,4,3,3573,1,3,1,2,1,1,1,0,3,2,1,2,1,1,1,0
2,24,2,0,1201,1,2,4,3,1,1,2,0,3,2,1,3,1,1,1,0
1,30,2,2,3622,4,5,4,2,1,4,2,1,3,1,2,3,1,2,1,0
4,15,3,2,960,4,4,3,2,1,2,2,0,3,2,2,3,1,1,1,0
4,12,4,0,1163,3,3,4,3,1,4,1,1,3,2,1,3,1,2,1,0
2,6,3,0,1209,1,1,4,3,1,4,2,1,3,2,1,4,1,2,1,1
4,12,2,3,3077,1,3,2,3,1,4,3,1,3,2,1,3,1,2,1,0
4,24,2,0,3757,1,5,4,2,2,4,4,1,3,3,1,3,1,2,1,0
4,10,2,0,1418,2,3,3,3,1,2,1,0,3,1,1,2,1,1,2,0
4,6,2,0,3518,1,3,2,3,3,3,2,0,3,1,1,3,1,1,1,0
4,12,4,3,1934,1,5,2,3,1,2,4,0,3,2,2,3,1,1,1,0
2,27,0,9,8318,1,5,2,2,1,4,4,1,3,3,2,4,1,2,1,1
4,6,4,3,1237,2,3,1,2,1,1,2,0,3,2,2,3,1,1,1,0
2,6,2,3,368,5,5,4,3,1,4,2,0,3,2,1,3,1,1,1,0
1,12,4,0,2122,1,3,3,3,1,2,1,0,3,1,2,2,2,1,2,0
1,24,2,2,2996,5,3,2,4,1,4,3,0,3,2,1,3,1,1,1,1
2,36,2,2,9034,2,2,4,3,2,1,4,0,3,1,1,4,1,2,1,1
4,24,4,2,1585,1,4,4,3,1,3,2,0,3,2,2,3,1,1,1,0
2,18,2,3,1301,1,5,4,4,3,2,1,0,3,2,1,2,1,1,1,0
3,6,4,0,1323,2,5,2,1,1,4,3,0,3,2,2,3,2,2,1,0
1,24,2,0,3123,1,2,4,2,1,1,2,0,3,2,1,3,1,1,1,1
1,36,2,1,5493,1,5,2,3,1,4,4,1,3,3,1,3,2,1,1,0
3,9,2,3,1126,2,5,2,1,1,4,1,1,3,2,1,3,1,1,1,0
2,24,4,3,1216,2,2,4,3,1,4,4,0,1,2,2,3,2,1,1,1
1,24,2,0,1207,1,2,4,2,1,4,2,0,3,1,1,3,1,1,1,1
4,10,2,0,1309,5,3,4,3,3,4,2,0,3,2,1,2,1,1,1,1
3,15,4,1,2360,3,3,2,3,1,2,3,0,3,2,1,3,1,2,1,0
2,15,1,0,6850,2,1,1,3,1,2,2,0,3,2,1,4,2,2,1,1
4,24,2,3,1413,1,3,4,4,1,2,2,0,3,2,1,3,1,1,1,0
4,39,2,1,8588,2,5,4,3,1,2,3,1,3,2,1,4,1,2,1,0
1,12,2,0,759,1,4,4,3,1,2,1,0,3,2,1,3,1,1,1,1
4,36,2,1,4686,1,3,2,3,1,2,4,0,3,3,1,4,1,2,1,0
3,15,2,9,2687,1,4,2,3,1,4,2,0,3,1,1,3,1,2,1,0
2,12,3,3,585,1,3,4,4,2,4,1,0,3,1,2,3,1,1,1,0
4,24,2,0,2255,5,2,4,3,1,1,2,1,3,2,1,3,1,1,1,0
1,6,4,0,609,1,4,4,2,1,3,2,0,3,2,2,3,1,1,2,0
1,6,4,0,1361,1,2,2,3,1,4,1,0,3,2,1,2,2,1,2,0
4,36,4,2,7127,1,2,2,2,1,4,2,0,3,1,2,3,1,2,1,1
1,6,2,0,1203,2,5,3,3,1,2,2,1,3,2,1,3,1,2,1,0
4,6,4,3,700,5,5,4,3,1,4,4,0,3,3,2,3,1,1,1,0
4,24,4,5,5507,1,5,3,3,1,4,4,1,3,3,2,3,1,1,1,0
1,18,2,3,3190,1,3,2,2,1,2,1,0,3,2,1,3,1,1,1,1
1,48,0,2,7119,1,3,3,3,1,4,4,1,3,3,2,3,2,1,1,1
4,24,2,1,3488,2,4,3,2,1,4,3,0,3,2,1,3,1,1,1,0
2,18,2,3,1113,1,3,4,2,3,4,1,0,3,2,1,2,2,1,1,0
2,26,2,1,7966,1,2,2,3,1,3,3,0,3,2,2,3,1,1,1,0
4,15,4,6,1532,2,3,4,2,1,3,3,0,3,2,1,3,1,1,1,0
4,4,4,3,1503,1,4,2,3,1,1,1,1,3,2,2,2,2,1,1,0
1,36,2,3,2302,1,3,4,1,1,4,3,0,3,1,1,3,1,1,1,1
1,6,2,0,662,1,2,3,3,1,4,1,1,3,2,1,2,2,2,1,0
2,36,2,6,2273,1,4,3,3,1,1,3,0,3,2,2,3,2,1,1,0
2,15,2,0,2631,2,3,2,2,1,4,3,0,3,1,2,3,1,2,1,1
4,12,3,1,1503,1,3,4,4,1,4,1,1,3,1,1,3,1,1,1,0
4,24,2,3,1311,2,4,4,4,1,3,2,0,3,2,1,3,1,2,1,0
4,24,2,3,3105,5,2,4,3,1,2,3,0,3,2,2,3,1,1,1,0
3,21,4,6,2319,1,2,2,1,1,1,3,0,3,1,1,3,1,1,1,1
1,6,2,0,1374,5,1,4,2,1,3,2,1,3,2,1,4,1,2,1,0
2,18,4,2,3612,1,5,3,2,1,4,2,0,3,2,1,3,1,2,1,0
1,48,2,0,7763,1,5,4,3,1,4,4,1,1,3,1,4,1,1,1,1
3,18,2,2,3049,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,0
2,12,2,3,1534,1,2,1,4,1,1,1,0,3,1,1,3,1,1,1,1
4,24,3,0,2032,1,5,4,3,1,4,4,1,3,3,2,3,1,2,1,0
1,30,2,2,6350,5,5,4,3,1,4,2,0,3,2,1,3,1,1,1,1
3,18,2,2,2864,1,3,2,3,1,1,1,0,3,2,1,2,2,1,1,1
4,12,4,0,1255,1,5,4,3,1,4,1,1,3,2,2,2,1,1,1,0
1,24,3,0,1333,1,1,4,3,1,2,1,1,3,3,2,3,2,1,1,1
4,24,4,0,2022,1,3,4,2,1,4,3,0,3,2,1,3,1,2,1,0
4,24,2,3,1552,1,4,3,3,1,1,3,0,1,2,1,3,2,1,1,0
1,12,1,3,626,1,3,4,2,1,4,1,0,1,2,1,2,1,1,1,1
4,48,4,1,8858,5,4,2,3,1,1,4,0,3,3,2,3,1,2,1,0
4,12,4,5,996,5,4,4,2,1,4,1,0,3,2,2,3,1,1,1,0
4,6,1,3,1750,3,5,2,3,1,4,2,1,1,2,1,2,2,1,1,0
1,48,2,3,6999,1,4,1,4,3,1,1,0,3,2,2,3,1,2,1,1
2,12,4,0,1995,2,2,4,3,1,1,3,0,3,2,1,3,1,1,1,0
2,9,2,6,1199,1,4,4,2,1,4,2,1,3,2,2,4,1,2,1,0
2,12,2,3,1331,1,2,2,3,1,1,3,0,2,2,1,3,1,1,1,1
2,18,0,0,2278,2,2,3,2,1,3,3,0,3,2,2,3,1,1,1,1
4,21,0,0,5003,5,3,1,2,1,4,2,0,1,2,2,3,1,2,1,1
1,24,1,2,3552,1,4,3,3,1,4,3,0,1,2,1,3,1,1,1,1
2,18,4,2,1928,1,2,2,3,1,2,1,0,3,2,2,2,1,1,1,1
1,24,2,1,2964,5,5,4,3,1,4,4,1,1,3,1,3,2,2,1,0
1,24,1,3,1546,1,4,4,3,3,4,3,0,1,1,1,2,1,1,1,1
3,6,3,3,683,1,2,2,2,1,1,2,0,1,2,1,3,1,1,1,0
2,36,2,0,12389,5,3,1,3,1,4,4,0,3,3,1,3,1,2,1,1
2,24,3,9,4712,5,3,4,3,1,2,2,0,1,2,2,4,1,2,1,0
2,24,3,3,1553,2,4,3,2,1,2,2,0,3,1,2,3,1,2,1,0
1,12,2,0,1372,1,4,2,1,1,3,3,0,3,2,1,3,1,1,1,1
4,24,4,3,2578,4,5,2,3,1,2,3,0,3,2,1,3,1,1,1,0
2,48,2,3,3979,5,4,4,3,1,1,3,1,3,2,2,3,2,2,1,0
1,48,2,3,6758,1,3,3,2,1,2,3,0,3,2,1,3,1,2,1,1
1,24,2,2,3234,1,2,4,2,1,4,1,0,3,1,1,2,1,2,1,1
4,30,4,3,5954,1,4,3,3,2,2,3,0,3,2,1,3,1,1,1,0
4,24,2,1,5433,5,1,2,2,1,4,2,0,3,1,1,4,1,2,1,0
1,15,2,9,806,1,3,4,2,1,4,2,0,3,2,1,2,1,1,1,0
2,9,2,3,1082,1,5,4,3,1,4,3,0,3,2,2,2,1,1,1,0
4,15,4,2,2788,1,4,2,2,2,3,3,0,1,2,2,3,1,1,1,0
2,12,2,3,2930,1,4,2,2,1,1,1,0,3,2,1,3,1,1,1,0
4,24,4,6,1927,5,3,3,2,1,2,3,0,3,2,2,3,1,2,1,0
2,36,4,0,2820,1,2,4,1,1,4,3,0,3,2,2,3,1,1,1,1
4,24,2,8,937,1,2,4,4,1,3,3,0,3,2,2,2,1,1,1,0
2,18,4,0,1056,1,5,3,3,3,3,1,0,1,2,2,3,1,1,1,1
2,12,4,0,3124,1,2,1,3,1,3,1,1,1,2,2,2,2,1,1,0
4,9,2,2,1388,1,3,4,2,1,2,1,0,3,1,1,3,1,1,1,0
2,36,2,5,2384,1,2,4,3,1,1,4,0,3,1,1,2,1,1,1,1
4,12,2,0,2133,5,5,4,2,1,4,4,1,3,3,1,4,1,2,1,0
1,18,2,2,2039,1,3,1,2,1,4,1,0,1,1,1,3,1,1,1,1
1,9,4,0,2799,1,3,2,3,1,2,1,0,3,1,2,3,2,1,1,0
1,12,2,2,1289,1,3,4,3,3,1,2,0,3,2,1,2,1,1,1,0
1,18,2,4,1217,1,3,4,4,1,3,1,1,3,2,1,2,1,2,1,1
1,12,4,2,2246,1,5,3,3,1,3,2,1,3,2,2,3,1,1,1,1
1,12,4,3,385,1,4,4,2,1,3,1,1,3,2,4,2,1,2,1,0
2,24,3,0,1965,5,3,4,2,1,4,3,1,3,1,2,3,1,2,1,0
4,21,2,9,1572,4,5,4,2,1,4,1,0,1,2,1,2,1,1,1,0
2,24,2,0,2718,1,3,3,2,1,4,2,0,3,1,1,2,1,2,1,1
1,24,1,10,1358,5,5,4,3,1,3,3,0,2,2,1,4,1,2,1,1
2,6,1,0,931,2,2,1,2,1,1,2,0,2,2,1,2,1,1,1,1
1,24,2,0,1442,1,4,4,2,1,4,3,0,3,1,2,3,1,1,1,1
2,24,0,9,4241,1,3,1,3,1,4,1,0,3,2,3,2,1,2,1,1
4,18,4,0,2775,1,4,2,3,1,2,2,0,1,2,2,3,1,1,1,1
4,24,3,9,3863,1,3,1,3,1,2,4,0,3,3,1,3,1,1,1,0
2,7,2,3,2329,1,2,1,2,3,1,1,1,3,2,1,3,1,1,1,0
2,9,2,2,918,1,3,4,2,1,1,2,0,3,2,1,3,1,1,1,1
2,24,1,6,1837,1,4,4,2,1,4,4,0,1,3,1,2,1,1,1,1
4,36,2,2,3349,1,3,4,2,1,2,3,0,3,2,1,4,1,2,1,1
3,10,2,2,1275,1,2,4,2,1,2,2,0,3,2,1,3,1,1,1,0
1,24,1,2,2828,3,3,4,3,1,4,1,0,2,2,1,3,1,2,1,0
4,24,4,9,4526,1,3,3,3,1,2,1,1,3,2,1,4,1,2,1,0
2,36,2,3,2671,2,3,4,2,2,4,4,1,3,3,1,3,1,1,1,1
4,18,2,3,2051,1,2,4,3,1,1,1,0,3,2,1,3,1,1,1,0
4,15,2,1,1300,5,5,4,3,1,4,4,1,1,3,1,3,2,1,1,0
1,12,2,4,741,2,1,4,2,1,3,2,0,3,2,1,3,1,1,1,1
3,10,2,0,1240,2,5,1,2,1,4,4,1,3,3,1,2,2,1,1,1
1,21,2,3,3357,4,2,4,2,1,2,3,0,1,2,1,3,1,1,1,0
1,24,1,1,3632,1,3,1,2,3,4,3,0,1,1,1,3,1,1,2,0
4,18,3,2,1808,1,4,4,2,1,1,1,0,3,2,1,3,1,1,1,1
2,48,0,9,12204,5,3,2,3,1,2,3,1,1,2,1,4,1,2,1,0
2,60,3,3,9157,5,3,2,3,1,2,4,0,3,3,1,4,1,1,1,0
1,6,4,0,3676,1,3,1,3,1,3,1,0,3,1,3,3,2,1,1,0
2,30,2,2,3441,2,3,2,2,2,4,3,0,3,1,1,3,1,1,1,1
4,12,2,0,640,1,3,4,1,1,2,1,1,3,2,1,2,1,1,1,0
2,21,4,9,3652,1,4,2,3,1,3,2,0,3,2,2,3,1,1,1,0
4,18,4,0,1530,1,3,3,3,1,2,2,0,1,2,2,3,1,1,1,1
4,48,2,9,3914,5,3,4,1,1,2,1,0,1,2,1,3,1,1,1,1
1,12,2,2,1858,1,2,4,2,1,1,3,0,3,1,1,3,1,1,1,0
1,18,2,3,2600,1,3,4,3,1,4,4,1,3,3,2,3,1,1,1,1
4,15,2,3,1979,5,5,4,3,1,2,3,0,3,2,1,3,1,1,1,0
3,6,2,2,2116,1,3,2,3,1,2,1,1,3,2,1,3,1,2,1,0
2,9,1,0,1437,2,4,2,3,1,3,4,0,3,2,1,3,1,1,1,1
4,42,4,2,4042,3,3,4,3,1,4,1,0,3,2,2,3,1,2,1,0
4,9,2,6,3832,5,5,1,3,1,4,1,1,3,2,1,2,1,1,1,0
1,24,2,3,3660,1,3,2,2,1,4,3,0,3,2,1,3,1,1,1,0
1,18,1,2,1553,1,3,4,3,1,3,3,1,1,2,1,3,1,1,1,1
2,15,2,3,1444,5,2,4,3,1,1,2,0,3,2,1,3,1,1,1,0
4,9,2,2,1980,1,2,2,2,2,2,3,0,3,1,2,3,1,1,1,1
2,24,2,0,1355,1,2,3,2,1,4,3,0,3,2,1,2,1,2,1,1
4,12,2,6,1393,1,5,4,3,1,4,2,1,1,2,3,3,2,2,1,0
4,24,2,3,1376,3,4,4,2,1,1,3,0,3,2,1,3,1,1,1,0
4,60,3,3,15653,1,4,2,3,1,4,3,0,3,2,2,3,1,2,1,0
4,12,2,3,1493,1,2,4,2,1,3,3,0,3,2,1,3,2,1,1,0
1,42,3,3,4370,1,4,3,3,1,2,2,0,1,2,2,3,2,2,1,1
1,18,2,6,750,1,1,4,2,1,1,1,0,3,2,1,1,1,1,1,1
2,15,2,5,1308,1,5,4,3,1,4,3,0,3,2,2,2,1,1,1,0
4,15,2,6,4623,2,3,3,3,1,2,2,0,3,2,1,4,1,2,1,1
4,24,4,3,1851,1,4,4,4,3,2,3,0,3,2,2,3,1,2,1,0
1,18,4,3,1880,1,4,4,4,1,1,2,0,3,2,2,4,1,2,1,0
4,36,3,9,7980,5,2,4,3,1,4,3,0,3,1,2,3,1,2,1,1
1,30,0,2,4583,1,3,2,1,3,2,1,0,3,2,2,3,1,1,1,0
4,12,2,0,1386,3,3,2,2,1,2,2,0,3,2,1,3,1,1,1,1
3,24,2,0,947,1,4,4,3,1,3,4,0,1,3,1,3,2,1,1,1
1,12,2,6,684,1,3,4,3,1,4,3,0,3,1,1,2,2,1,1,1
1,48,2,6,7476,1,4,4,3,1,1,4,1,3,3,1,4,1,2,1,0
2,12,2,2,1922,1,3,4,3,1,2,2,0,3,2,1,2,1,1,1,1
1,24,2,0,2303,1,5,4,3,2,1,1,1,3,2,1,3,1,1,1,1
2,36,3,0,8086,2,5,2,3,1,4,3,1,3,2,4,4,1,2,1,1
4,24,4,1,2346,1,4,4,3,1,3,3,0,3,2,2,3,1,2,1,0
1,14,2,0,3973,1,1,1,3,1,4,4,0,3,3,1,3,1,1,1,0
2,12,2,0,888,1,5,4,3,1,4,3,1,1,2,1,2,2,1,1,1
4,48,2,3,10222,5,4,4,3,1,3,3,0,2,2,1,3,1,2,1,0
2,30,0,9,4221,1,3,2,2,1,1,3,0,3,2,2,3,1,1,1,0
2,18,4,2,6361,1,5,2,3,1,1,4,1,3,2,1,3,1,2,1,0
3,12,2,3,1297,1,3,3,4,1,4,1,0,3,1,1,3,1,1,1,0
1,12,2,0,900,5,3,4,4,1,2,3,0,3,2,1,3,1,1,1,1
4,21,2,2,2241,1,5,4,3,1,2,1,1,3,2,2,3,1,1,1,0
2,6,3,2,1050,1,1,4,3,1,1,2,0,2,2,2,4,1,2,1,0
3,6,4,6,1047,1,3,2,2,1,4,2,1,3,2,1,2,1,1,1,0
4,24,4,10,6314,1,1,4,3,2,2,4,0,1,2,2,4,1,2,1,0
2,30,1,2,3496,4,3,4,3,1,2,3,0,2,2,1,3,2,2,1,0
4,48,1,9,3609,1,3,1,2,1,1,1,0,2,2,1,3,1,1,1,0
1,12,4,0,4843,1,5,3,3,2,4,2,1,3,1,2,3,1,2,1,1
3,30,4,3,3017,1,5,4,3,1,4,2,1,3,2,1,3,1,1,1,0
4,24,4,9,4139,2,3,3,3,1,3,2,0,3,2,2,2,1,2,1,0
4,36,2,9,5742,2,4,2,3,1,2,3,0,3,2,2,3,1,2,1,0
4,60,2,0,10366,1,5,2,3,1,4,2,1,3,2,1,4,1,2,1,0
4,6,4,0,2080,3,3,1,4,1,2,3,0,3,2,1,3,1,1,1,0
4,21,3,9,2580,3,2,4,3,1,2,1,1,1,2,1,2,2,1,1,1
4,30,4,3,4530,1,4,4,2,1,4,3,0,3,1,1,4,1,2,1,0
4,24,4,2,5150,1,5,4,3,1,4,3,0,3,2,1,3,1,2,1,0
2,72,2,3,5595,2,3,2,4,1,2,3,0,3,2,1,3,1,1,1,1
1,24,2,3,2384,1,5,4,3,1,4,1,1,1,1,1,2,1,1,1,0
4,18,2,3,1453,1,2,3,2,1,1,1,0,3,2,1,3,1,1,1,0
4,6,2,6,1538,1,2,1,2,1,2,4,1,3,2,1,3,1,1,1,0
4,12,2,3,2279,5,3,4,3,1,4,4,0,3,3,1,3,1,2,1,0
4,15,3,3,1478,1,3,4,4,1,3,1,0,1,2,2,3,1,1,1,0
4,24,4,3,5103,1,2,3,4,1,3,4,1,3,3,3,3,1,2,1,0
2,36,3,9,9857,2,4,1,3,1,3,2,0,3,2,2,2,2,2,1,0
4,60,2,0,6527,5,3,4,3,1,4,4,0,3,3,1,3,2,2,1,0
3,10,4,3,1347,5,4,4,3,1,2,2,0,3,2,2,3,1,2,1,0
2,36,3,0,2862,2,5,4,3,1,3,4,0,3,3,1,3,1,1,1,0
4,9,2,3,2753,2,5,3,3,2,4,3,0,3,2,1,3,1,2,1,0
1,12,2,0,3651,4,3,1,3,1,3,2,0,3,2,1,3,2,1,1,0
1,15,4,2,975,1,3,2,1,1,3,2,0,3,2,2,3,1,1,1,0
2,15,2,5,2631,2,3,3,2,1,2,1,0,3,2,1,2,1,1,1,0
2,24,2,3,2896,2,2,2,3,1,1,3,0,3,2,1,3,1,1,1,0
1,6,4,0,4716,5,2,1,3,1,3,1,1,3,2,2,2,2,1,1,0
4,24,2,3,2284,1,4,4,3,1,2,3,0,3,2,1,3,1,2,1,0
4,6,2,1,1236,3,3,2,3,1,4,2,1,3,1,1,3,1,1,1,0
2,12,2,3,1103,1,4,4,3,3,3,1,0,3,2,2,3,1,1,2,0
4,12,4,0,926,1,1,1,2,1,2,2,0,3,2,1,1,1,1,1,0
4,18,4,3,1800,1,3,4,3,1,2,3,0,3,2,2,3,1,1,1,0
3,15,2,6,1905,1,5,4,3,1,4,3,0,3,1,1,4,1,2,1,0
